Mensagem,Tópico,Subtópico
‎IMG-20241219-WA0013.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎IMG-20241219-WA0015.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
"Há um erro conceitual no primerio podcast. Softmax não é uma ferramenta ou algo separado do aprendizado de máquina. Ele já existe em uma camada intermediária da geração de textos.  A questão é, como o direito é também uma meta linguagem, seria necessário adicionar mais uma camada de ponderação de valores e pesos na aplicação.  Por isso, a utilização de ferramentas brutas não funciona.  ",Ferramentas e Plataformas,Geral
Parece que nosso paltite estava certo. Lembram que comentamos sobre um computador que fosse barato pequeno e pudesse ser usado com ai?,Código Aberto e Custo,Custo e Viabilidade Econômica
"R$1.539,6909 quero ver o preço que chega aqui no Brasil",Código Aberto e Custo,Custo e Viabilidade Econômica
‎IMG-20241220-WA0003.jpg (arquivo anexado),Código Aberto e Custo,
‎IMG-20241220-WA0004.jpg (arquivo anexado),Código Aberto e Custo,
‎IMG-20241220-WA0005.jpg (arquivo anexado),Código Aberto e Custo,
‎IMG-20241220-WA0006.jpg (arquivo anexado),Código Aberto e Custo,
‎IMG-20241220-WA0007.jpg (arquivo anexado),Código Aberto e Custo,
"Se precisar a gente revisa o código junto e faz as adaptações para o atendimento para qualquer situação: escritório, câmara de conciliação, envio de sentenças, fluxo de trabalho de acessores de magistrados, etc.. Ai vai de sua imaginação e necessidade.",Ferramentas e Plataformas,Código e Bibliotecas
Um exemplo de relatório de uma aplicação:,Ferramentas e Plataformas,
‎IMG-20241220-WA0008.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20241220-WA0009.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20241220-WA0010.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20241220-WA0011.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20241220-WA0012.jpg (arquivo anexado),Ferramentas e Plataformas,
"Alguns grupos em que estou inseridos, deixa o grupo fechado, somente para administradores comentar algo ou compartilhar alguma coisa.  Difícil começar um diálogo.",Interdisciplinaridade e Fundamentos Teóricos,Interdisciplinaridade
Aqui é aberto,Código Aberto e Custo,Open Source e Transparência
"Bom dia, colegas.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Olá colegas! Sou Roseana Vilarim, advogada em Brasília na área empresarial e tributária e sou administradora judicial. ",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Sejam todos bem vindos, a um grupo de discussões!",Conceitos Técnicos e Fundamentos de IA,
"Tive que sair do outro grupo, em razão de cerceamento de compartilhamento de novos grupos para discussões de inteligência Artificial, sintam-se acolhidos nesse espaço! Tenham um ótimo sábado!",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Salve pessoal,",Conceitos Técnicos e Fundamentos de IA,
maravilha!!!,Conceitos Técnicos e Fundamentos de IA,
Envio o link de uma consulta que acabei de receber.  Utilizei para respondê-la algumas ferramentas que criei aqui.,Ferramentas e Plataformas,Geral
Salve!,Ferramentas e Plataformas,
"Achei relevante compartilhar já que as práticas relatadas são reiteradas, constituem fato gravíssimo.  As ferramentas que desenvolvi buscam instrumentalizar nossa prática na defesa dos interesses das partes lesadas.",Ferramentas e Plataformas,Geral
vou enviar um pdf também.  O trabalho ficou pronto antes da conversa ser concluída com o cliente.  Ele deve estar lendo agora.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Acertou em cheio hein, Luiz",Conceitos Técnicos e Fundamentos de IA,
‎Análise de Transferência Indevida e Seus Impactos no Direito Bancário e do Consumidor.pdf (arquivo anexado),Aplicações Jurídicas Práticas,Áreas do Direito
É conteúdo de bancário que eu quero mesmo do tema,Aplicações Jurídicas Práticas,
https://juridicoagil.com/gpts-assistentes-juridicosAgradecemos por utilizar nossos serviços! Esperamos trabalhar com você novamente em breve.,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Em breve vou organizar uma ferramenta que faça a busca dos precedentes no STJ e STF comparando os paradigmas para todos os quase 2000 precedentes que tenho aqui.,Ferramentas e Plataformas,Geral
Eita,Ferramentas e Plataformas,
"Caramba, gostei!",Ferramentas e Plataformas,
Fez um assistente jurídico?,Ferramentas e Plataformas,
Pode considerar que sim,Ferramentas e Plataformas,
agora vou transformar em agentes,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Utilizei o Gemini Flash 2.0, GPT o3, DeepSeek V.3 e Perplexity para a checagem de fatos.",Ferramentas e Plataformas,LLMs e Modelos
Ficou fantástico.,Ferramentas e Plataformas,
Eles trouxeram com prompts e após checagem chegou nessa conclusão apresentada? Não deu erro nas jurisprudências?,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Se juntar o perplexity e o gemini deve ficar interessante a busca,Ferramentas e Plataformas,LLMs e Modelos
"Uso o peplexity mas o Gimini nunca usei, tenho ele mas não uso. Uso ChatGPT plus.",Ferramentas e Plataformas,LLMs e Modelos
Perplexity*,Ferramentas e Plataformas,LLMs e Modelos
"O gemini já faz busca também.  Assim como o GPT, DeepSeek também fazem.  Mas as llms ainda tem limitações com números.  Elas leem os números dos processos mas na hora de transcrever dá problema.  Por exemplo",Ferramentas e Plataformas,LLMs e Modelos
Esta é uma busca para o seguinte prompt:,Ferramentas e Plataformas,
"O que achou do deepseek v3, Luiz?",Ferramentas e Plataformas,LLMs e Modelos
Aqui foi no perplexity,Ferramentas e Plataformas,LLMs e Modelos
"Na hora de compilar tudo, quando os dados não estão estruturados, o número dos processos se perde.  Por isso estou trabalhando para contornar esse problema fazendo a extração para um objeto json",Ferramentas e Plataformas,Código e Bibliotecas
Feliz Ano Novo!!!!!,Ferramentas e Plataformas,
As minhas primeiras impressões estão sendo confirmardas.  Eu havia conversado com um pessoal sobre a limitação de hardware que temos no Brasil e que isso nos impunha um atraso significativo.  Por incrível que pareça é a mesma situação da China. A NVidia e o Google tem o monopólio da produção de chips GPU e quanticos.  Nós nem de perto chegamos a isso.  ,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
"Haja vista o método de trabalho dos dados, busca acessar áreas especificas do cérebro no comando, reduzindo drasticamente a quantidade de tokens utilizados e redução de custo operacional",Código Aberto e Custo,Custo e Viabilidade Econômica
‎IMG-20250102-WA0108.jpg (arquivo anexado),Código Aberto e Custo,
"Além disso esse modelo é um MoE.  Mix of Agents, ou seja, ele tem tudo que precisa para resolver problemas altamente complexos nível PHD e também as coisas mais simples.  Só ativa aquilo que é necessário para a tarefa dada, o que diminui o tempo de resposta.",Código Aberto e Custo,
‎IMG-20250102-WA0109.jpg (arquivo anexado),Código Aberto e Custo,
16 segundos,Código Aberto e Custo,
o investimento é de 5 milhões apenas né?,Código Aberto e Custo,Custo e Viabilidade Econômica
"Luiz, qual llm boa pra ler imagens, tipo uma planilha de Excel para replicar a fórmula usada",Ferramentas e Plataformas,LLMs e Modelos
Se é que dá pra fazer isso,Ferramentas e Plataformas,
pode fazer com qualquer um desses que falei,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA"
Deepseek é multimodal?,Ferramentas e Plataformas,LLMs e Modelos
sim,Ferramentas e Plataformas,
"Aqui está um comparativo detalhado dos investimentos necessários para o treinamento das LLMs GPT-4o e DeepSeek-V3, com base nas informações disponíveis:",Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250102-WA0112.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20250102-WA0113.jpg (arquivo anexado),Ferramentas e Plataformas,
"Ok, interessante",Ferramentas e Plataformas,
"Funcional, funciona para análise de formulas e planilhas em imagem? Queria ver em ação, vou testar quando chegar no escritório",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"como estava lendo a imagem não fez busca na internet, então pedi o seguinte:",Conceitos Técnicos e Fundamentos de IA,
‎IMG-20250102-WA0114.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
Top,Conceitos Técnicos e Fundamentos de IA,
e o relatório,Conceitos Técnicos e Fundamentos de IA,
vou ser mais específico e buscar casos paradigmáticos relacionados ao que estou estudando,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
busco por jurisprudência em que um ou ambas instituições financeiras foram condenadas em razão de Transferência Indevida e Seus Impactos no Direito Bancário e do Consumidor,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
E o resultado:,Aplicações Jurídicas Práticas,
um exemplo de documento pesquisado para redigir o relatório https://www.tjpb.jus.br/sites/default/files/anexos/2020/11/indenizacao_banco.pdf,Aplicações Jurídicas Práticas,
"acessa diretamente a jurisprudência do STJ, o que o GPT não faz",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
"Acessa e faz a mineraçao de dados diretamente no jusbrasil, ultrapassando as barreiras impostas a nós mortais",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
e muitos outros sites,Aplicações Jurídicas Práticas,
‎IMG-20250102-WA0116.jpg (arquivo anexado),Aplicações Jurídicas Práticas,
Qual versão do deepseek você tá usando?,Ferramentas e Plataformas,LLMs e Modelos
A v3?,Ferramentas e Plataformas,
"Com 1 milhão de tokens, você pode preencher cerca de 950 páginas A4, considerando as configurações especificadas.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
isso significa que se analiso um processo com 900 laudas de folhas totalmente preenchidas gasto,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Brutal,Aplicações Jurídicas Práticas,
"E @556599399333 esse caso ai que fiz a consulta para o meu cliente já tem as notificações dos bancos, do procon e do Banco Central prontas. Já enviei para o cliente e amanhã vou enviar a relação de documentos para coleta dos dados do whatsapp e outros documentos.",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
"Da mesma forma, há muitas causas que podem derivar dos precedentes, o que facilitaria uma câmara de composição, negociações e acordos extrajudiciais, aumentando também a rentabilidade caso exista uma estratégia bem organizada para difusão dessas informações.",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Imagina pensar nas causas repetitivas que já tem precedente e modelar a rotina do escritório para atender esses casos?,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
tenta enviar a planilha lá no deepseek direto e pedir que faça uma análise.  Ative o deekthinking para isso. Peça insights e que tente descobrir as formulas entre as células,Ferramentas e Plataformas,LLMs e Modelos
Farei isso,Ferramentas e Plataformas,
"Nos casos de atualização monetária e juros, por exemplo, eu poderia usar o gemini flash 2.0.  Envio todas as tabelas de atualização e as regras de aplicação de juros conforme o dispositivo da sentença de liquidação, depois os valores, data de início e de final do calculo e pediria que justificasse emitindo um parecer com tabelas demonstrativas.  Poderia também pedir que me informasse as fórmulas aplicadas e uma explicação dos cálculos.",Ferramentas e Plataformas,LLMs e Modelos
to querendo coisas assim do bancário,Ferramentas e Plataformas,
"para fazer isso, utilize o https://aistudio.google.com",Ferramentas e Plataformas,
nesse ponto do contexto o Google é imbatível.  Cada um tem seus pontos fortes e fracos. Combine e vai ter os melhores resultados.,Ferramentas e Plataformas,
"Isso seria excelente, contactar o adv em ultimo caso, fazendo analises próprias de demandas repetitivas",Código Aberto e Custo,Custo e Viabilidade Econômica
"Para fazer isso, O que estamos conversando, sobre o objeto?",Código Aberto e Custo,
"Ou, detectando que é uma demanda repetitiva, conseguir atuar com preços de serviço mais competitivos, baseado no tempo e possibilidade de êxito.  Bastaria verificar as provas, se são robustas.",Código Aberto e Custo,Custo e Viabilidade Econômica
"sobre as planilhas de dados históricos, sobre grande volume de precedentes, processos volumosos etc...",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
"mas dá para utilizar as outras llms também, mas ai tem que lançar de uns artifícios mais sofisticados e precisa de código python",Ferramentas e Plataformas,LLMs e Modelos
E isso da pra fazer ali?,Ferramentas e Plataformas,
No Ai studio,Ferramentas e Plataformas,
sim,Ferramentas e Plataformas,
hummmm,Ferramentas e Plataformas,
dá para compartilhar sua tela e conversar com a AI enquanto faz o cálculo,Interdisciplinaridade e Fundamentos Teóricos,Matemática e Estatística
vou enviar um vídeo,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://youtu.be/a9w0HfkBMfk?si=uud-2-orJPQXXASZ,Conceitos Técnicos e Fundamentos de IA,
Um mundo bem vasto de opções,Conceitos Técnicos e Fundamentos de IA,
"O imporantante é começar pelo simples, com aquilo que mais te beneficiaria hoje e possa ser realizado hoje.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://youtu.be/RvGmmjO3Tdg?si=Ol5VRthHjH4I86x3,Conceitos Técnicos e Fundamentos de IA,
Mesclar as ferramentas disponíveis é o que faz a magia acontecer,Ferramentas e Plataformas,Geral
conhecer a ferramenta e expandir as interações,Ferramentas e Plataformas,Geral
muito bom,Ferramentas e Plataformas,
vamos marcar uma conversa qualquer dia desses. Assim podemos desenvolver algo juntos que possa ser usado em um caso concreto.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Deepseek provando que é possível fazer mais com menos,Ferramentas e Plataformas,LLMs e Modelos
Vamos fazer sim,Ferramentas e Plataformas,
edgecomputing.  Até a NVidia lançou um computador barato para rodar llms localmente.,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250102-WA0117.jpg (arquivo anexado),Ferramentas e Plataformas,
Isso significa que pode ficar ainda mais barato. Em outras palavras: estamos pagando muito caro pela propaganda.  Veja os modelos opensorce gratuitos e os tutoriais >>>  https://www.jetson-ai-lab.com/tutorial-intro.html,Código Aberto e Custo,Open Source e Transparência
https://youtu.be/Nh8t9nK0AwY?si=M-eN0j1lM7a4NEWt,Código Aberto e Custo,
‎STK-20250107-WA0024.webp (arquivo anexado),Código Aberto e Custo,
https://youtu.be/N6xDzN71BYo?si=X9HHJDPNEnNmW1m4,Código Aberto e Custo,
"Pessoal, ",Código Aberto e Custo,
"O orçamento para ter uma AI como o modelo mais poderoso existente rodando localmente baixou para US$ 2000,00 ou R$ 12.000,00",Código Aberto e Custo,Custo e Viabilidade Econômica
Tudo opensource,Código Aberto e Custo,Open Source e Transparência
‎Impacto do Capital na Era da IGA Uma Análise Crítica.pdf (arquivo anexado),Ferramentas e Plataformas,Código e Bibliotecas
https://youtu.be/3JxUkIx7A-o?si=6DiLDxlhGW3_P7Tr,Ferramentas e Plataformas,
Encontrei uma ferramenta para transcrição de audiências,Ferramentas e Plataformas,Geral
‎IMG-20250109-WA0004.jpg (arquivo anexado),Ferramentas e Plataformas,
‎Colaboração e Contribuições no Apollo Research Um Estudo em Equipe.pdf (arquivo anexado),Ferramentas e Plataformas,
"quem se interessar em ver como a resenha foi gerada, estou abrindo o acesso ao aistudio",Ferramentas e Plataformas,
Acessem o system instructions para ver as instruções para configurar o agente,Ferramentas e Plataformas,
irei dar uma olhada e ler.,Ferramentas e Plataformas,
"Acabo de reconfigurar o perplexity e o deepseek para fornecer o mesmo tipo de resultados. O site do deepssek não permite compartilhamento, mas o do perplexity permite, estou enviando uma cópia.",Ferramentas e Plataformas,LLMs e Modelos
"bom dia colegas. gostaria de uma boa fonte para elaborar um conteúdo introdutório e teórico sobre inteligência artificial generativa. Alguém indica algum site, vídeo ou livro para este fim?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://youtu.be/wjZofJX0v4M?si=z-zdQ8ozjyWz5IZX,Conceitos Técnicos e Fundamentos de IA,
Pessoal foi aqui que publicaram um texto da diferença do chatgbt e do perplexity? Alguém sabe?,Ferramentas e Plataformas,LLMs e Modelos
Acredito que a diferença não mas ambos se complementam para verificar a veracidade quando ChatGPT entrega jurisprudência e algumas normas. Me parece que o Dr Luiz Peixoto entregou algo interessante sobre esse assunto em 10/01/25 <Mensagem editada>,Ferramentas e Plataformas,LLMs e Modelos
https://www.perplexity.ai/search/traga-informacoes-completas-so-bAf62fYoR3qdlnNfWGZLbg,Ferramentas e Plataformas,LLMs e Modelos
Caio acredito que seja isso que você procura,Ferramentas e Plataformas,
"Na verdade o perplexity na versão free é o GPT 3.5 como llm.  Mas porque o resutlado é diferente? Por que é um sistema de agentes.  Isso quer dizer que um agente faz a pesquisa, outro estrutura a resposta, e no final pode haver uma ou duas revisões até apresentar o resultado.",Ferramentas e Plataformas,LLMs e Modelos
https://youtu.be/ONKOXwucLvE?si=0BxMRmX_WW8nsyCI,Ferramentas e Plataformas,
https://youtu.be/Q0ncaAwnn-o?si=E7S1sNPERON3q8sy,Ferramentas e Plataformas,
# Perplexity: Uma Análise Detalhada de um Mecanismo de Resposta Baseado em IA  ,Ferramentas e Plataformas,LLMs e Modelos
https://www.estadao.com.br/link/empresas/trump-anunciara-investimento-inteligencia-artificial-com-openai-oracle-softbank/,Código Aberto e Custo,Custo e Viabilidade Econômica
E também perdoou um dos hackers mais infames. O cara estava condenado a perpétua por ter criado um dos maiores sites de venda de drogas online e ser especialista em lavagem de dinheiro.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
O que indica um recrutamento para as agências de inteligência,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Vamos viver de bolsa. Quase ninguém mais vai ter função,Conceitos Técnicos e Fundamentos de IA,
"É sério? Informação fidedigna? Não desconfio do colega, mas em um mundo de ""pós-verdade""...",Conceitos Técnicos e Fundamentos de IA,
É vero,Conceitos Técnicos e Fundamentos de IA,
https://g1.globo.com/tecnologia/noticia/2025/01/21/trump-concede-perdao-presidencial-para-criador-de-site-de-venda-de-drogas.ghtml,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Meu Deus... E tem um monte de fanático ""orando por ele"" porque seria o representante de Deus nos EUA...",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Representante dos bilionários e agora a moda é ser trilionario,Conceitos Técnicos e Fundamentos de IA,
"Ele é um homem de negócios. Os bilionários se tornarão trilionários... Não é a toa que a galera da tecnologia abandonou as suas ""convicções"", deixaram os democratas e se ""tornaram"" republicanos...",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎IMG-20250122-WA0030.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
"A questão toda, acredito está alinhada com toda a discussão da AGI que já está em evidência e a concorrência com a China, automação do trabalho e tudo mais.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Boa tarde prezados (as),Aplicações Jurídicas Práticas,
https://nudep.my.canva.site/ric24,Aplicações Jurídicas Práticas,
vejam esse vídeo sobre o novo modelo R1 da deepseek e como tem causado alvoroço na indústria.,Ferramentas e Plataformas,LLMs e Modelos
Ja testei uma função relacionada a esse modelo. Compreensão de conceitos.  E passou muito bem.,Interdisciplinaridade e Fundamentos Teóricos,Fundamentos Teóricos
"A distinção entre **pretensão**, **faculdade** e **poder** é essencial para compreender a estrutura dos direitos subjetivos e suas nuances no Direito Civil. Esses conceitos, embora interligados, possuem naturezas e efeitos jurídicos distintos. Abaixo, explico cada um deles e os relaciono aos institutos conexos, como **direito subjetivo**, **direito potestativo**, **obrigação** e **prescrição/decadência**, com base na doutrina de Frederico Marques e no sistema jurídico brasileiro.",Aplicações Jurídicas Práticas,Áreas do Direito
Este é um exemplo de como as llms evoluíram para compreensão de conceitos.,Ferramentas e Plataformas,LLMs e Modelos
‎PTT-20250122-WA0033.opus (arquivo anexado),Ferramentas e Plataformas,
"Para aprofundar a pesquisa bibliográfica e iniciar a dissertação sobre a **Teoria do Fato Jurídico de Pontes de Miranda**, é essencial estruturar a busca em torno de três eixos principais: **1) Obras fundamentais de Pontes de Miranda**, **2) Críticas e revisões contemporâneas da teoria**, e **3) Diálogos interdisciplinares com hermenêutica, filosofia e sociologia do direito**. Abaixo, apresento uma seleção de referências e sugestões de abordagem, com base nos resultados da pesquisa e em obras clássicas relacionadas.",Ferramentas e Plataformas,Zotero
as fontes também foram citadas e já incluí aqui no meu catálogo. Já estou com tudo registrado no Zotero,Ferramentas e Plataformas,Zotero
‎IMG-20250122-WA0034.jpg (arquivo anexado),Ferramentas e Plataformas,
https://drive.google.com/file/d/1Adzxcst2edLVlolbfIUoq0zRUUFwR_YC/view?usp=drive_link,Ferramentas e Plataformas,
O primeiro vídeo que enviei roda o modelo em uma nuvem paga.  Agora vou enviar um que roda localmente como o NVidia NVIDIA Jetson Nano,Código Aberto e Custo,Custo e Viabilidade Econômica
Impressões sobre o último teste com o Jetson Nano,Código Aberto e Custo,
"Agora mais um teste de Kristian Fagerlie, um dos primeiros a criar um sistema de agentes.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎Aplicações do Modelo DeepSeek-R1 na Redação de Contratos e Petições Legais.pdf (arquivo anexado),Ferramentas e Plataformas,LLMs e Modelos
@554499938668 ,Ferramentas e Plataformas,
‎IMG-20250123-WA0012.jpg (arquivo anexado),Ferramentas e Plataformas,
‎Análise da Executive Order sobre IA e Seus Impactos Globais e Regionais.pdf (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Texto muito bom! Apresenta do debate e os desafios que temos pela frente.,Conceitos Técnicos e Fundamentos de IA,
"Notou que a análise de  todo conteúdo, inclusive dos analistas internacionais estava pronta duas horas depois do ATO? Viu que há uma análise de conceitos de direito internacional e cruzamento de informações com questões relativas a ações em trâmite no STF?",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
https://youtu.be/5NgNicANyqM?si=dFzniD3Ue-Xj5K_5,Aplicações Jurídicas Práticas,
📢 Notícia Importante: Tribunal regulamenta sessões virtuais!,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
ENQUETE:,Conceitos Técnicos e Fundamentos de IA,
https://youtu.be/WtULAcdI00A?si=-S1h9aaRRmC7gbSa,Conceitos Técnicos e Fundamentos de IA,
"- O acompanhamento do voto do relator, tal como ocorre nas sessões virtuais do STF.",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Tem alguma sugestão de como podemos abordar essa questão?,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Vou pensar em um tema e já postarei.,Aplicações Jurídicas Práticas,
- O acompanhamento dos votos nas sessões virtuais assíncronas;,Aplicações Jurídicas Práticas,
Vou anotar aqui.  Hoje a tráfego está muito congestionado e não sei se conseguirei pesquisas tão ágeis como antes. Todos os desenvolvedores estão migrando do o1 para o deepseek e fazendo milhares de testes. E a coisa ficou meio complicada. Deve normaliar em uma ou duas semanas.,Ferramentas e Plataformas,LLMs e Modelos
- Sem pressa. Muito obrigado.,Ferramentas e Plataformas,
*Momento Sputnik: Nvidia perde o equivalente a sete Petrobras em valor na Bolsa com proeza da IA chinesa*,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://www.youtube.com/live/dcDOevd_JnE?si=2SXCZ6r63eCXjb5E,Conceitos Técnicos e Fundamentos de IA,
"E o modelo Janus-pro, o que esperar dele? Como uma tal nova abordagem, arquitetura regressiva",Conceitos Técnicos e Fundamentos de IA,
A relação disso aqui é mais ligada ao fato do ataque em massa contra a deepseek,Ferramentas e Plataformas,LLMs e Modelos
Boa noite,Ferramentas e Plataformas,
https://pipelinevalor.globo.com/negocios/noticia/deepseek-a-baleia-chinesa-que-causou-um-tsunami-no-vale-do-silicio.ghtml?utm_source=Whatsapp&utm_medium=Social&utm_campaign=compartilhar,Ferramentas e Plataformas,LLMs e Modelos
Já começaram os ataques Dados para derrubar a plataforma,Ferramentas e Plataformas,Geral
‎PTT-20250128-WA0015.opus (arquivo anexado),Ferramentas e Plataformas,
‎PTT-20250128-WA0016.opus (arquivo anexado),Ferramentas e Plataformas,
A questão definitivamente é politica kkkkk mais de 1 trilhão em perca de valor de mercado somados,Ferramentas e Plataformas,
isso definitivamente furou a bolha,Ferramentas e Plataformas,
"Agora quem vai furar a bolha somos nós. Te prepara que vamos montar os fluxos de trabalho e nos adaptar rapidamente ao processo.  Primeiro acredito que seja importante implementarmos ferramentas úteis para cada membro do grupo. Quando cada um estiver familiarizado e com suporte, poderemos ajudar mais colegas a se adaptarem aos novos tempos.",Ferramentas e Plataformas,Geral
https://g1.globo.com/economia/noticia/2025/01/27/empresas-de-tecnologia-perdem-us-1-trilhao-em-valor-de-mercado-com-ameaca-de-ia-chinesa.ghtml,Código Aberto e Custo,Custo e Viabilidade Econômica
"Aqui está um modelo estruturado para solicitar medicamento de alto custo no SUS, com base nos resultados fornecidos:",Código Aberto e Custo,Custo e Viabilidade Econômica
Deepseek,Ferramentas e Plataformas,LLMs e Modelos
"Boa tarde, Caio. Segue um modelo básico de petição para solicitar medicamento de alto custo no SUS. Você pode adaptá-lo ao caso específico:",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
Chatgbt,Aplicações Jurídicas Práticas,
A diferença,Aplicações Jurídicas Práticas,
Os estagiários estão perdidos!!!,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
E qual escolheu?,Conceitos Técnicos e Fundamentos de IA,
Bom dia. Lembro de luiz já ter cantado a bola do deepseek salvo engano desde novembro do ano passado que foi qdo o testei pela primeira vez,Ferramentas e Plataformas,LLMs e Modelos
"A propósito, a ideia que você deu de rodar a ai direto no obsidian já está operaciol.  terminei agora a pouco.  E já integrei o deepseek",Ferramentas e Plataformas,Obsidian
‎Intimação Pessoal do Devedor em Obrigações de Fazer ou Não Fazer.pdf (arquivo anexado),Ferramentas e Plataformas,
Minhas impressões pessoais sobre o resultado:,Ferramentas e Plataformas,
"Parabéns! Quem sabe, sabe 😉👏👏👏👏",Ferramentas e Plataformas,
"Estava lendo, e o resultado é muito significativo!",Ferramentas e Plataformas,
Vejam a etapa intermediária que inseri para chegar nesse resultado:,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Tudo isso são os prompts que elaborou para chegar a um resultado?,Conceitos Técnicos e Fundamentos de IA,
‎PTT-20250130-WA0005.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
Entendi!,Conceitos Técnicos e Fundamentos de IA,
‎PTT-20250130-WA0006.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎PTT-20250130-WA0007.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
https://www.perplexity.ai/search/como-essa-situacao-agesta-a-of-TXBfYeb0SdKx5120TuG2CQ#1,Ferramentas e Plataformas,LLMs e Modelos
"Pessoal Bom Dia, uma dúvida.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Gostaria de saber será que se eu subir os arquivos em PDF sobre direito imobiliário ele vai aprender, armazenar e quando eu precisar dará as respostas utilizando esses documentos também ?",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
https://youtu.be/qAsGO5N7OCk?si=ZvPanr1Y1XB7b-NQ,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250214-WA0008.jpg (arquivo anexado),Ferramentas e Plataformas,
Bom dia!,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎IMG-20250215-WA0002.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎PTT-20250215-WA0003.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
https://share.note.sx/f5nlmzfh,Conceitos Técnicos e Fundamentos de IA,
quem topa fazer um teste de um prompt bem simples para busca de jurisprudência e postar aqui o resultado?,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
outro exemplo:,Aplicações Jurídicas Práticas,
os casos existem e a jurisprudência foi publicada. Agora vamos ver qual das llms consegue chegar a resposta correta.,Ferramentas e Plataformas,LLMs e Modelos
mais um exemplo:,Ferramentas e Plataformas,
