Mensagem,Tópico,Subtópico,Data,Remetente
Vamos acompanhando as notícias e vou buscar mais apoio. Me parece que a solução que apresentam segue o mesmo escopo. ,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-17 12:13:00,Luiz Peixoto
Muito grato pela notícia @5511960285788,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-17 12:14:00,Luiz Peixoto
"Peço a todos que não se apressem. Devagar, vamos mais rápido",Outros,,2024-12-17 12:15:00,Luiz Peixoto
https://youtu.be/Y2ldwg8xsgE?si=p1rwctO5IJexF9Iv,Outros,,2024-12-17 13:32:00,Luiz Peixoto
"Rag, offering, ooensource",Outros,,2024-12-17 13:32:00,Luiz Peixoto
"Barato e sem me validade. Fácil de configurar e distribuir amplamente para advogados, mesmo nas menores bancas, mesmo quem atua só. Portátil",Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-17 13:33:00,Luiz Peixoto
* Sem mensalidade,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-17 13:51:00,Luiz Peixoto
‎IMG-20241217-WA0016.jpg (arquivo anexado),Outros,,2024-12-17 17:17:00,Luiz Peixoto
Olha como o marketing apresenta uma proposta,Outros,,2024-12-17 17:17:00,Luiz Peixoto
‎IMG-20241217-WA0017.jpg (arquivo anexado),Outros,,2024-12-17 17:45:00,Luiz Peixoto
👏👏até para RJ esta LLM estaria apta,Ferramentas e Plataformas,LLMs e Modelos,2024-12-17 17:47:00,PNe 1vc_pnz
Viu que dá pra rodar tudo com 80 dólares?,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-17 18:00:00,Luiz Peixoto
Tá em um dos vídeos,Outros,,2024-12-17 18:01:00,Luiz Peixoto
Ainda não. vou tentar maratonar no recesso,Outros,,2024-12-17 18:02:00,PNe 1vc_pnz
O raspberry equivale ao orange pi?,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura,2024-12-17 18:03:00,PNe 1vc_pnz
Pode se dizer que sim. Eu não tenho muito conhecimento dessa placa. Porque a que se popularizou foi a do raspberry. Foi curada para ensinar robótica e programação para crianças. Continua um grande sucesso e tem uma miríade de processos.,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-12-17 18:10:00,Luiz Peixoto
"Se faltar luz, houver uma catástrofe, incêndio ou algo parecido, ter um desses com uma llm, poderia significar a continuidade das operações. Ou ainda, ter algo simples pra treinar e depois ir escalando, de maneira que mesmo que você não fosse usar, saberia como contratar um serviço corporativo ou se posicionar sobre o equilíbrio econômico financeiro de um contrato entre uma grande corporação e o TJ de seu estado para oferecer os serviços",Ferramentas e Plataformas,LLMs e Modelos,2024-12-17 18:13:00,Luiz Peixoto
"Muitas vezes, menos é mais.",Outros,,2024-12-17 18:13:00,Luiz Peixoto
Tente copiar essa conversa e colar lá no www.perplexy.ai e peça para ampliar o contexto citando casos de aplicação ou bibliografia. Peça por tutorial passo a passo para entender o tema tratado no contexto citado.,Ferramentas e Plataformas,Zotero,2024-12-17 18:16:00,Luiz Peixoto
‎Plano de Estudos para Administração de Recuperação Judicial no Brasil.pdf (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-18 11:53:00,Luiz Peixoto
‎IMG-20241218-WA0012.jpg (arquivo anexado),Outros,,2024-12-18 14:06:00,Luiz Peixoto
Dei uma pesquisada rápida e encontrei algumas informações.  https://youtu.be/1zw4-j_KSYI?si=Pfi3w3_4easdmk1W Esse está em português.,Outros,,2024-12-18 14:38:00,Luiz Peixoto
‎IMG-20241218-WA0013.jpg (arquivo anexado),Outros,,2024-12-18 14:40:00,Luiz Peixoto
muito além daquels 80 U$ = da placa nua do Raspberry pi 5,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura,2024-12-18 14:40:00,Luiz Peixoto
‎IMG-20241218-WA0014.jpg (arquivo anexado),Outros,,2024-12-18 14:42:00,Luiz Peixoto
O assunto eu gostei!,Outros,,2024-12-18 15:02:00,Paulo Carlos Adv
"@558182243530 Temos uma achado aqui.  Parece que orange pi já vem com  NPU (Neural Processing Unit) além de ter uma memória considerável e 8 núcleos de CPU.  Em outras palavras.  Parece que nossos amigos chineses estão mesmo na frente.  Essa SBC ""computador de placa única"" é barata e pode ajudar nos protótipos.  Estou buscando mais algumas avaliações e já te envio os resultados, vou te mandar em nota compartilhada no privado para não poluir aqui a linha de conversa.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-18 15:06:00,Luiz Peixoto
‎Comparativo entre Orange Pi 5 e Raspberry Pi 5 Desempenho de Modelos de Linguagem Grande e Unidades de Processamento Neural.pdf (arquivo anexado),Ferramentas e Plataformas,LLMs e Modelos,2024-12-18 15:32:00,Luiz Peixoto
‎IMG-20241218-WA0015.jpg (arquivo anexado),Outros,,2024-12-18 15:36:00,Luiz Peixoto
"Sei que o tema é denso, assim preparei uma Resumo para descomplicar um pouco, definindo os termos chave para não deixar ninguém de fora da discussão  ",Outros,,2024-12-18 15:39:00,Luiz Peixoto
‎PTT-20241218-WA0018.opus (arquivo anexado),Outros,,2024-12-18 16:57:00,Luiz Peixoto
Já recebi um convite,Outros,,2024-12-18 16:57:00,Luiz Peixoto
Eu vou aprendendo e trago as informações. Quem quiser me chama no privado e passo o contato,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-18 16:58:00,Luiz Peixoto
"Achei uma solução mais barata e simples.  Comprar mais memória RAM é fácil de instalar e o custo para minhas duas máquinas principais é de 300 para uma e 250 para a outra.  Assim já fico com memória para rodar um modelo de 70B como o LLma3 que supera os outros modelos. Assim vai rodar tudo localmente com privacidade e não preciso pagar mensalidade do GPT.  Economia de R$18.094,13 por ano de operação na contação do Dolar de hoje.",Ferramentas e Plataformas,LLMs e Modelos,2024-12-18 19:14:00,Luiz Peixoto
"@558788083798 só para confirmar, está rodando alguma api do whatsapp aqui no grupo?",Ferramentas e Plataformas,Código e Bibliotecas,2024-12-18 19:15:00,Luiz Peixoto
"estava testando no meu WhatsApp e acabou enviando aqui no grupo, peço perdão por isso",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-18 19:15:00,Victor Emanuel
"sem problema.  Vamos aproveitar isso. Parabéns, sua api está funcionando!  Show de bola!",Ferramentas e Plataformas,Código e Bibliotecas,2024-12-18 19:16:00,Luiz Peixoto
obrigado dr. 🙏🙏,Outros,,2024-12-18 19:16:00,Victor Emanuel
Evoluiu rápido.  Já está usando o python.  Recorde de aprendizado.,Ferramentas e Plataformas,Código e Bibliotecas,2024-12-18 19:16:00,Luiz Peixoto
"ja usava um pouco, agora estou me aventurando um pouco nas apis de WhatsApp <Mensagem editada>",Ferramentas e Plataformas,Código e Bibliotecas,2024-12-18 19:18:00,Victor Emanuel
Depois vamos trocar uma ideia que achei uma bibliotaca muito legal que ajuda. Qual está usando?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-18 19:18:00,Luiz Peixoto
vamos passar para o privado para não encher a linha de mensagens.,Outros,,2024-12-18 19:19:00,Luiz Peixoto
certo,Outros,,2024-12-18 19:19:00,Victor Emanuel
https://youtu.be/wjZofJX0v4M?si=AZ5PTtR_xx4hV7SL,Outros,,2024-12-18 19:43:00,Luiz Peixoto
‎IMG-20241219-WA0013.jpg (arquivo anexado),Outros,,2024-12-19 18:14:00,Luiz Peixoto
‎IMG-20241219-WA0015.jpg (arquivo anexado),Outros,,2024-12-19 18:32:00,Luiz Peixoto
"Há um erro conceitual no primerio podcast. Softmax não é uma ferramenta ou algo separado do aprendizado de máquina. Ele já existe em uma camada intermediária da geração de textos.  A questão é, como o direito é também uma meta linguagem, seria necessário adicionar mais uma camada de ponderação de valores e pesos na aplicação.  Por isso, a utilização de ferramentas brutas não funciona.  ",Ferramentas e Plataformas,Geral,2024-12-19 18:46:00,Luiz Peixoto
Parece que nosso paltite estava certo. Lembram que comentamos sobre um computador que fosse barato pequeno e pudesse ser usado com ai?,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-19 19:05:00,Luiz Peixoto
"R$1.539,6909 quero ver o preço que chega aqui no Brasil",Código Aberto e Custo,Custo e Viabilidade Econômica,2024-12-19 19:07:00,Luiz Peixoto
‎IMG-20241220-WA0003.jpg (arquivo anexado),Outros,,2024-12-20 09:47:00,Luiz Peixoto
‎IMG-20241220-WA0004.jpg (arquivo anexado),Outros,,2024-12-20 09:47:00,Luiz Peixoto
‎IMG-20241220-WA0005.jpg (arquivo anexado),Outros,,2024-12-20 09:47:00,Luiz Peixoto
‎IMG-20241220-WA0006.jpg (arquivo anexado),Outros,,2024-12-20 09:47:00,Luiz Peixoto
‎IMG-20241220-WA0007.jpg (arquivo anexado),Outros,,2024-12-20 09:47:00,Luiz Peixoto
"Se precisar a gente revisa o código junto e faz as adaptações para o atendimento para qualquer situação: escritório, câmara de conciliação, envio de sentenças, fluxo de trabalho de acessores de magistrados, etc.. Ai vai de sua imaginação e necessidade.",Ferramentas e Plataformas,Código e Bibliotecas,2024-12-20 09:52:00,Luiz Peixoto
Um exemplo de relatório de uma aplicação:,Outros,,2024-12-20 10:01:00,Luiz Peixoto
‎IMG-20241220-WA0008.jpg (arquivo anexado),Outros,,2024-12-20 10:11:00,Luiz Peixoto
‎IMG-20241220-WA0009.jpg (arquivo anexado),Outros,,2024-12-20 10:19:00,Luiz Peixoto
‎IMG-20241220-WA0010.jpg (arquivo anexado),Outros,,2024-12-20 10:25:00,Luiz Peixoto
‎IMG-20241220-WA0011.jpg (arquivo anexado),Outros,,2024-12-20 10:27:00,Luiz Peixoto
‎IMG-20241220-WA0012.jpg (arquivo anexado),Outros,,2024-12-20 11:36:00,Luiz Peixoto
"Alguns grupos em que estou inseridos, deixa o grupo fechado, somente para administradores comentar algo ou compartilhar alguma coisa.  Difícil começar um diálogo.",Interdisciplinaridade e Fundamentos Teóricos,Interdisciplinaridade,2024-12-20 20:14:00,Paulo Carlos Adv
Aqui é aberto,Código Aberto e Custo,Open Source e Transparência,2024-12-21 05:04:00,Luiz Peixoto
"Bom dia, colegas.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-21 09:34:00,Alessandro Segalla
"Olá colegas! Sou Roseana Vilarim, advogada em Brasília na área empresarial e tributária e sou administradora judicial. ",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-21 10:34:00,+55 61 9338-2501
"Sejam todos bem vindos, a um grupo de discussões!",Outros,,2024-12-21 11:52:00,Paulo Carlos Adv
"Tive que sair do outro grupo, em razão de cerceamento de compartilhamento de novos grupos para discussões de inteligência Artificial, sintam-se acolhidos nesse espaço! Tenham um ótimo sábado!",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-21 11:54:00,Paulo Carlos Adv
"Salve pessoal,",Outros,,2025-01-02 14:58:00,Luiz Peixoto
maravilha!!!,Outros,,2025-01-02 15:00:00,+55 48 9645-9366
Envio o link de uma consulta que acabei de receber.  Utilizei para respondê-la algumas ferramentas que criei aqui.,Ferramentas e Plataformas,Geral,2025-01-02 15:00:00,Luiz Peixoto
Salve!,Outros,,2025-01-02 15:02:00,Paulo Carlos Adv
"Achei relevante compartilhar já que as práticas relatadas são reiteradas, constituem fato gravíssimo.  As ferramentas que desenvolvi buscam instrumentalizar nossa prática na defesa dos interesses das partes lesadas.",Ferramentas e Plataformas,Geral,2025-01-02 15:02:00,Luiz Peixoto
vou enviar um pdf também.  O trabalho ficou pronto antes da conversa ser concluída com o cliente.  Ele deve estar lendo agora.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 15:03:00,Luiz Peixoto
"Acertou em cheio hein, Luiz",Outros,,2025-01-02 15:03:00,Viny Campos
‎Análise de Transferência Indevida e Seus Impactos no Direito Bancário e do Consumidor.pdf (arquivo anexado),Aplicações Jurídicas Práticas,Áreas do Direito,2025-01-02 15:03:00,Luiz Peixoto
É conteúdo de bancário que eu quero mesmo do tema,Outros,,2025-01-02 15:03:00,Viny Campos
https://juridicoagil.com/gpts-assistentes-juridicosAgradecemos por utilizar nossos serviços! Esperamos trabalhar com você novamente em breve.,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2025-01-02 15:03:00,+55 48 9645-9366
Em breve vou organizar uma ferramenta que faça a busca dos precedentes no STJ e STF comparando os paradigmas para todos os quase 2000 precedentes que tenho aqui.,Ferramentas e Plataformas,Geral,2025-01-02 15:04:00,Luiz Peixoto
Eita,Outros,,2025-01-02 15:06:00,Viny Campos
"Caramba, gostei!",Outros,,2025-01-02 15:06:00,Paulo Carlos Adv
Fez um assistente jurídico?,Outros,,2025-01-02 15:07:00,Paulo Carlos Adv
Pode considerar que sim,Outros,,2025-01-02 15:08:00,Luiz Peixoto
agora vou transformar em agentes,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 15:08:00,Luiz Peixoto
"Utilizei o Gemini Flash 2.0, GPT o3, DeepSeek V.3 e Perplexity para a checagem de fatos.",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:11:00,Luiz Peixoto
Ficou fantástico.,Outros,,2025-01-02 15:12:00,Paulo Carlos Adv
Eles trouxeram com prompts e após checagem chegou nessa conclusão apresentada? Não deu erro nas jurisprudências?,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 15:14:00,Paulo Carlos Adv
Se juntar o perplexity e o gemini deve ficar interessante a busca,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:15:00,Viny Campos
"Uso o peplexity mas o Gimini nunca usei, tenho ele mas não uso. Uso ChatGPT plus.",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:16:00,Paulo Carlos Adv
Perplexity*,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:17:00,Paulo Carlos Adv
"O gemini já faz busca também.  Assim como o GPT, DeepSeek também fazem.  Mas as llms ainda tem limitações com números.  Elas leem os números dos processos mas na hora de transcrever dá problema.  Por exemplo",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:17:00,Luiz Peixoto
Esta é uma busca para o seguinte prompt:,Outros,,2025-01-02 15:17:00,Luiz Peixoto
"O que achou do deepseek v3, Luiz?",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:18:00,Viny Campos
Aqui foi no perplexity,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 15:19:00,Viny Campos
"Na hora de compilar tudo, quando os dados não estão estruturados, o número dos processos se perde.  Por isso estou trabalhando para contornar esse problema fazendo a extração para um objeto json",Ferramentas e Plataformas,Código e Bibliotecas,2025-01-02 15:19:00,Luiz Peixoto
Feliz Ano Novo!!!!!,Outros,,2025-01-02 15:21:00,+55 61 9338-2501
As minhas primeiras impressões estão sendo confirmardas.  Eu havia conversado com um pessoal sobre a limitação de hardware que temos no Brasil e que isso nos impunha um atraso significativo.  Por incrível que pareça é a mesma situação da China. A NVidia e o Google tem o monopólio da produção de chips GPU e quanticos.  Nós nem de perto chegamos a isso.  ,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2025-01-02 15:24:00,Luiz Peixoto
"Haja vista o método de trabalho dos dados, busca acessar áreas especificas do cérebro no comando, reduzindo drasticamente a quantidade de tokens utilizados e redução de custo operacional",Código Aberto e Custo,Custo e Viabilidade Econômica,2025-01-02 15:26:00,Viny Campos
‎IMG-20250102-WA0108.jpg (arquivo anexado),Outros,,2025-01-02 15:26:00,Luiz Peixoto
"Além disso esse modelo é um MoE.  Mix of Agents, ou seja, ele tem tudo que precisa para resolver problemas altamente complexos nível PHD e também as coisas mais simples.  Só ativa aquilo que é necessário para a tarefa dada, o que diminui o tempo de resposta.",Outros,,2025-01-02 15:27:00,Luiz Peixoto
‎IMG-20250102-WA0109.jpg (arquivo anexado),Outros,,2025-01-02 15:29:00,Luiz Peixoto
16 segundos,Outros,,2025-01-02 15:30:00,Viny Campos
o investimento é de 5 milhões apenas né?,Código Aberto e Custo,Custo e Viabilidade Econômica,2025-01-02 15:31:00,Viny Campos
"Luiz, qual llm boa pra ler imagens, tipo uma planilha de Excel para replicar a fórmula usada",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:03:00,Viny Campos
Se é que dá pra fazer isso,Outros,,2025-01-02 17:03:00,Viny Campos
pode fazer com qualquer um desses que falei,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA",2025-01-02 17:03:00,Luiz Peixoto
Deepseek é multimodal?,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:04:00,Viny Campos
sim,Outros,,2025-01-02 17:06:00,Luiz Peixoto
"Aqui está um comparativo detalhado dos investimentos necessários para o treinamento das LLMs GPT-4o e DeepSeek-V3, com base nas informações disponíveis:",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:06:00,Luiz Peixoto
‎IMG-20250102-WA0112.jpg (arquivo anexado),Outros,,2025-01-02 17:09:00,Luiz Peixoto
‎IMG-20250102-WA0113.jpg (arquivo anexado),Outros,,2025-01-02 17:09:00,Luiz Peixoto
"Ok, interessante",Outros,,2025-01-02 17:10:00,Viny Campos
"Funcional, funciona para análise de formulas e planilhas em imagem? Queria ver em ação, vou testar quando chegar no escritório",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 17:10:00,Viny Campos
"como estava lendo a imagem não fez busca na internet, então pedi o seguinte:",Outros,,2025-01-02 17:10:00,Luiz Peixoto
‎IMG-20250102-WA0114.jpg (arquivo anexado),Outros,,2025-01-02 17:11:00,Luiz Peixoto
Top,Outros,,2025-01-02 17:12:00,Viny Campos
e o relatório,Outros,,2025-01-02 17:12:00,Luiz Peixoto
vou ser mais específico e buscar casos paradigmáticos relacionados ao que estou estudando,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:13:00,Luiz Peixoto
busco por jurisprudência em que um ou ambas instituições financeiras foram condenadas em razão de Transferência Indevida e Seus Impactos no Direito Bancário e do Consumidor,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:14:00,Luiz Peixoto
E o resultado:,Outros,,2025-01-02 17:14:00,Luiz Peixoto
um exemplo de documento pesquisado para redigir o relatório https://www.tjpb.jus.br/sites/default/files/anexos/2020/11/indenizacao_banco.pdf,Outros,,2025-01-02 17:16:00,Luiz Peixoto
"acessa diretamente a jurisprudência do STJ, o que o GPT não faz",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:17:00,Luiz Peixoto
"Acessa e faz a mineraçao de dados diretamente no jusbrasil, ultrapassando as barreiras impostas a nós mortais",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:18:00,Luiz Peixoto
e muitos outros sites,Outros,,2025-01-02 17:19:00,Luiz Peixoto
‎IMG-20250102-WA0116.jpg (arquivo anexado),Outros,,2025-01-02 17:20:00,Luiz Peixoto
Qual versão do deepseek você tá usando?,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:23:00,Viny Campos
A v3?,Outros,,2025-01-02 17:24:00,Viny Campos
"Com 1 milhão de tokens, você pode preencher cerca de 950 páginas A4, considerando as configurações especificadas.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 17:24:00,Luiz Peixoto
isso significa que se analiso um processo com 900 laudas de folhas totalmente preenchidas gasto,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2025-01-02 17:26:00,Luiz Peixoto
Brutal,Outros,,2025-01-02 17:27:00,Viny Campos
"E @556599399333 esse caso ai que fiz a consulta para o meu cliente já tem as notificações dos bancos, do procon e do Banco Central prontas. Já enviei para o cliente e amanhã vou enviar a relação de documentos para coleta dos dados do whatsapp e outros documentos.",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais,2025-01-02 17:34:00,Luiz Peixoto
"Da mesma forma, há muitas causas que podem derivar dos precedentes, o que facilitaria uma câmara de composição, negociações e acordos extrajudiciais, aumentando também a rentabilidade caso exista uma estratégia bem organizada para difusão dessas informações.",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:35:00,Luiz Peixoto
Imagina pensar nas causas repetitivas que já tem precedente e modelar a rotina do escritório para atender esses casos?,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2025-01-02 17:37:00,Luiz Peixoto
tenta enviar a planilha lá no deepseek direto e pedir que faça uma análise.  Ative o deekthinking para isso. Peça insights e que tente descobrir as formulas entre as células,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:38:00,Luiz Peixoto
Farei isso,Outros,,2025-01-02 17:42:00,Viny Campos
"Nos casos de atualização monetária e juros, por exemplo, eu poderia usar o gemini flash 2.0.  Envio todas as tabelas de atualização e as regras de aplicação de juros conforme o dispositivo da sentença de liquidação, depois os valores, data de início e de final do calculo e pediria que justificasse emitindo um parecer com tabelas demonstrativas.  Poderia também pedir que me informasse as fórmulas aplicadas e uma explicação dos cálculos.",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:42:00,Luiz Peixoto
to querendo coisas assim do bancário,Outros,,2025-01-02 17:43:00,Viny Campos
"para fazer isso, utilize o https://aistudio.google.com",Outros,,2025-01-02 17:43:00,Luiz Peixoto
nesse ponto do contexto o Google é imbatível.  Cada um tem seus pontos fortes e fracos. Combine e vai ter os melhores resultados.,Outros,,2025-01-02 17:44:00,Luiz Peixoto
"Isso seria excelente, contactar o adv em ultimo caso, fazendo analises próprias de demandas repetitivas",Código Aberto e Custo,Custo e Viabilidade Econômica,2025-01-02 17:44:00,Viny Campos
"Para fazer isso, O que estamos conversando, sobre o objeto?",Outros,,2025-01-02 17:44:00,Viny Campos
"Ou, detectando que é uma demanda repetitiva, conseguir atuar com preços de serviço mais competitivos, baseado no tempo e possibilidade de êxito.  Bastaria verificar as provas, se são robustas.",Código Aberto e Custo,Custo e Viabilidade Econômica,2025-01-02 17:45:00,Luiz Peixoto
"sobre as planilhas de dados históricos, sobre grande volume de precedentes, processos volumosos etc...",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2025-01-02 17:46:00,Luiz Peixoto
"mas dá para utilizar as outras llms também, mas ai tem que lançar de uns artifícios mais sofisticados e precisa de código python",Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 17:46:00,Luiz Peixoto
E isso da pra fazer ali?,Outros,,2025-01-02 17:47:00,Viny Campos
No Ai studio,Outros,,2025-01-02 17:47:00,Viny Campos
sim,Outros,,2025-01-02 17:47:00,Luiz Peixoto
hummmm,Outros,,2025-01-02 17:47:00,Viny Campos
dá para compartilhar sua tela e conversar com a AI enquanto faz o cálculo,Interdisciplinaridade e Fundamentos Teóricos,Matemática e Estatística,2025-01-02 17:47:00,Luiz Peixoto
vou enviar um vídeo,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 17:47:00,Luiz Peixoto
https://youtu.be/a9w0HfkBMfk?si=uud-2-orJPQXXASZ,Outros,,2025-01-02 17:48:00,Luiz Peixoto
Um mundo bem vasto de opções,Outros,,2025-01-02 17:54:00,Viny Campos
"O imporantante é começar pelo simples, com aquilo que mais te beneficiaria hoje e possa ser realizado hoje.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 17:55:00,Luiz Peixoto
https://youtu.be/RvGmmjO3Tdg?si=Ol5VRthHjH4I86x3,Outros,,2025-01-02 17:56:00,Luiz Peixoto
Mesclar as ferramentas disponíveis é o que faz a magia acontecer,Ferramentas e Plataformas,Geral,2025-01-02 18:02:00,Viny Campos
conhecer a ferramenta e expandir as interações,Ferramentas e Plataformas,Geral,2025-01-02 18:02:00,Viny Campos
muito bom,Outros,,2025-01-02 18:02:00,Viny Campos
vamos marcar uma conversa qualquer dia desses. Assim podemos desenvolver algo juntos que possa ser usado em um caso concreto.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-02 18:03:00,Luiz Peixoto
Deepseek provando que é possível fazer mais com menos,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 18:03:00,Viny Campos
Vamos fazer sim,Outros,,2025-01-02 18:03:00,Viny Campos
edgecomputing.  Até a NVidia lançou um computador barato para rodar llms localmente.,Ferramentas e Plataformas,LLMs e Modelos,2025-01-02 18:04:00,Luiz Peixoto
‎IMG-20250102-WA0117.jpg (arquivo anexado),Outros,,2025-01-02 18:06:00,Luiz Peixoto
Isso significa que pode ficar ainda mais barato. Em outras palavras: estamos pagando muito caro pela propaganda.  Veja os modelos opensorce gratuitos e os tutoriais >>>  https://www.jetson-ai-lab.com/tutorial-intro.html,Código Aberto e Custo,Open Source e Transparência,2025-01-02 18:19:00,Luiz Peixoto
https://youtu.be/Nh8t9nK0AwY?si=M-eN0j1lM7a4NEWt,Outros,,2025-01-06 18:44:00,Luiz Peixoto
‎STK-20250107-WA0024.webp (arquivo anexado),Outros,,2025-01-08 00:22:00,Luiz Peixoto
https://youtu.be/N6xDzN71BYo?si=X9HHJDPNEnNmW1m4,Outros,,2025-01-08 00:22:00,Luiz Peixoto
"Pessoal, ",Outros,,2025-01-08 00:23:00,Luiz Peixoto
"O orçamento para ter uma AI como o modelo mais poderoso existente rodando localmente baixou para US$ 2000,00 ou R$ 12.000,00",Código Aberto e Custo,Custo e Viabilidade Econômica,2025-01-08 00:29:00,Luiz Peixoto
Tudo opensource,Código Aberto e Custo,Open Source e Transparência,2025-01-08 00:31:00,Luiz Peixoto
‎Impacto do Capital na Era da IGA Uma Análise Crítica.pdf (arquivo anexado),Ferramentas e Plataformas,Código e Bibliotecas,2025-01-08 16:30:00,Luiz Peixoto
https://youtu.be/3JxUkIx7A-o?si=6DiLDxlhGW3_P7Tr,Outros,,2025-01-08 16:30:00,Luiz Peixoto
Encontrei uma ferramenta para transcrição de audiências,Ferramentas e Plataformas,Geral,2025-01-09 11:27:00,Luiz Peixoto
‎IMG-20250109-WA0004.jpg (arquivo anexado),Outros,,2025-01-09 13:59:00,Luiz Peixoto
‎Colaboração e Contribuições no Apollo Research Um Estudo em Equipe.pdf (arquivo anexado),Outros,,2025-01-09 14:01:00,Luiz Peixoto
"quem se interessar em ver como a resenha foi gerada, estou abrindo o acesso ao aistudio",Outros,,2025-01-09 14:04:00,Luiz Peixoto
Acessem o system instructions para ver as instruções para configurar o agente,Outros,,2025-01-09 14:38:00,Luiz Peixoto
irei dar uma olhada e ler.,Outros,,2025-01-09 14:55:00,Paulo Carlos Adv
"Acabo de reconfigurar o perplexity e o deepseek para fornecer o mesmo tipo de resultados. O site do deepssek não permite compartilhamento, mas o do perplexity permite, estou enviando uma cópia.",Ferramentas e Plataformas,LLMs e Modelos,2025-01-10 01:52:00,Luiz Peixoto
"bom dia colegas. gostaria de uma boa fonte para elaborar um conteúdo introdutório e teórico sobre inteligência artificial generativa. Alguém indica algum site, vídeo ou livro para este fim?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2025-01-15 07:38:00,PNe 1vc_pnz
https://youtu.be/wjZofJX0v4M?si=z-zdQ8ozjyWz5IZX,Outros,,2025-01-16 14:39:00,Luiz Peixoto
Pessoal foi aqui que publicaram um texto da diferença do chatgbt e do perplexity? Alguém sabe?,Ferramentas e Plataformas,LLMs e Modelos,2025-01-17 18:43:00,Caio Simon
